,Date,Open,High,Low,Close,Volume
0,"Feb 24, 2023",137.20,137.20,135.48,136.05,"218,700"
1,"Feb 23, 2023",139.03,139.49,138.15,138.95,"198,100"
2,"Feb 22, 2023",138.70,139.28,138.29,138.65,"178,200"
3,"Feb 21, 2023",140.16,140.58,138.73,139.18,"324,000"
4,"Feb 17, 2023",142.08,143.05,141.82,142.85,"145,800"
5,"Feb 16, 2023",141.40,143.66,141.32,142.70,"303,200"
6,"Feb 15, 2023",140.41,140.98,140.06,140.97,"388,200"
7,"Feb 14, 2023",142.80,143.12,141.55,142.65,"230,400"
8,"Feb 13, 2023",142.95,143.91,142.56,143.86,"197,500"
9,"Feb 10, 2023",143.67,143.98,142.51,143.42,"230,100"
10,"Feb 09, 2023",146.36,147.49,144.69,144.83,"334,000"
11,"Feb 08, 2023",144.00,144.64,143.31,143.83,"192,400"
12,"Feb 07, 2023",143.52,144.97,143.06,144.64,"166,900"
13,"Feb 06, 2023",144.00,144.40,142.97,143.79,"172,100"
14,"Feb 03, 2023",145.62,146.41,144.45,144.71,"248,100"
15,"Feb 02, 2023",147.00,147.36,144.61,146.62,"299,400"
16,"Feb 01, 2023",146.58,149.01,146.58,148.58,"213,100"
17,"Jan 31, 2023",146.30,147.11,145.88,147.11,"145,700"
18,"Jan 30, 2023",146.00,146.29,145.09,145.18,"182,400"
19,"Jan 27, 2023",146.00,147.73,145.74,147.16,"171,400"
20,"Jan 26, 2023",145.52,146.19,144.41,145.47,"137,100"
21,"Jan 25, 2023",145.98,146.47,145.21,146.15,"245,000"
22,"Jan 24, 2023",150.40,150.40,145.00,146.01,"143,600"
23,"Jan 23, 2023",145.77,146.59,145.12,146.03,"231,300"
24,"Jan 20, 2023",144.92,146.32,144.50,146.11,"269,500"
25,"Jan 19, 2023",144.88,145.10,143.62,144.18,"244,900"
26,"Jan 18, 2023",148.00,148.10,145.07,145.51,"305,300"
27,"Jan 17, 2023",144.65,145.72,144.27,144.77,"383,700"
