,Date,Open,High,Low,Close,Volume
0,"Feb 24, 2023",257.70,260.02,257.08,259.11,"246,200"
1,"Feb 23, 2023",263.96,264.62,261.26,262.15,"258,000"
2,"Feb 22, 2023",261.81,262.29,259.57,260.60,"286,900"
3,"Feb 21, 2023",263.04,263.62,261.78,262.80,"331,800"
4,"Feb 17, 2023",264.89,267.59,264.36,266.88,"251,800"
5,"Feb 16, 2023",265.31,268.70,264.14,265.88,"217,500"
6,"Feb 15, 2023",263.99,267.30,263.99,267.23,"282,600"
7,"Feb 14, 2023",261.25,266.20,260.98,265.61,"198,100"
8,"Feb 13, 2023",261.61,264.90,261.16,263.44,"232,000"
9,"Feb 10, 2023",258.30,260.13,256.92,259.68,"564,700"
10,"Feb 09, 2023",269.58,270.12,265.07,266.31,"306,600"
11,"Feb 08, 2023",266.46,267.84,265.15,266.56,"445,200"
12,"Feb 07, 2023",262.51,267.25,262.28,266.91,"464,800"
13,"Feb 06, 2023",260.40,263.01,258.96,261.31,"395,300"
14,"Feb 03, 2023",260.45,264.00,259.70,260.04,"776,300"
15,"Feb 02, 2023",265.20,270.35,262.61,265.48,"1,191,400"
16,"Feb 01, 2023",249.81,256.46,249.23,253.32,"786,100"
17,"Jan 31, 2023",246.60,251.59,246.51,251.31,"708,600"
18,"Jan 30, 2023",253.75,255.06,250.60,251.25,"481,300"
19,"Jan 27, 2023",248.82,256.08,248.82,253.72,"802,300"
20,"Jan 26, 2023",246.76,248.50,246.30,247.77,"362,500"
21,"Jan 25, 2023",242.76,245.78,242.36,245.58,"275,200"
22,"Jan 24, 2023",242.70,244.43,241.81,244.04,"283,700"
23,"Jan 23, 2023",241.95,245.28,241.66,243.64,"373,100"
24,"Jan 20, 2023",240.20,242.50,239.52,242.38,"311,100"
25,"Jan 19, 2023",239.45,240.00,236.67,237.99,"605,100"
26,"Jan 18, 2023",241.94,242.64,239.71,239.71,"566,200"
27,"Jan 17, 2023",237.36,239.80,237.36,237.86,"340,100"
28,"Jan 13, 2023",234.78,236.45,234.61,235.92,"186,400"
29,"Jan 12, 2023",234.12,237.10,232.67,235.84,"329,800"
30,"Jan 11, 2023",232.96,234.88,232.44,233.71,"332,600"
31,"Jan 10, 2023",230.10,232.13,229.26,231.95,"297,700"
32,"Jan 09, 2023",230.00,232.75,228.77,228.77,"564,700"
33,"Jan 06, 2023",216.84,224.80,216.20,224.08,"212,900"
34,"Jan 05, 2023",217.25,218.45,215.77,216.08,"205,900"
35,"Jan 04, 2023",219.20,219.67,216.61,219.67,"354,700"
36,"Jan 03, 2023",216.66,218.76,213.97,215.37,"316,400"
37,"Dec 30, 2022",215.54,216.29,212.80,214.22,"141,200"
38,"Dec 29, 2022",213.79,216.93,213.70,216.59,"189,300"
39,"Dec 28, 2022",212.00,213.24,210.04,210.25,"163,200"
40,"Dec 27, 2022",211.80,212.97,210.30,212.00,"190,300"
41,"Dec 23, 2022",210.80,212.31,209.88,211.01,"222,000"
42,"Dec 22, 2022",213.20,213.36,210.35,212.56,"180,600"
43,"Dec 21, 2022",213.78,215.02,213.54,213.90,"335,000"
44,"Dec 20, 2022",213.45,214.98,213.21,214.09,"208,800"
45,"Dec 19, 2022",218.38,218.38,216.08,216.13,"192,700"
46,"Dec 16, 2022",221.05,222.33,218.11,218.11,"155,900"
47,"Dec 15, 2022",224.03,224.58,221.16,222.40,"221,400"
48,"Dec 14, 2022",225.92,227.32,224.11,225.18,"205,300"
49,"Dec 13, 2022",229.22,230.17,222.93,225.49,"343,300"
50,"Dec 12, 2022",222.29,222.76,221.00,222.53,"147,000"
51,"Dec 09, 2022",219.98,221.54,219.42,220.72,"150,100"
52,"Dec 08, 2022",219.63,220.69,218.70,220.33,"228,800"
53,"Dec 07, 2022",220.99,222.72,219.77,220.08,"194,800"
54,"Dec 06, 2022",223.49,223.83,218.95,221.10,"301,300"
55,"Dec 05, 2022",226.92,227.04,223.68,223.68,"372,300"
56,"Dec 02, 2022",224.64,226.68,223.41,226.58,"353,700"
57,"Dec 01, 2022",226.18,228.40,224.94,228.08,"299,200"
58,"Nov 30, 2022",219.65,223.05,218.08,223.05,"282,600"
